"rt","lum1","lum2","correct_response","correct","right","diff","response","time_elapsed"
"786","0.8063126175536238","0.7104672068081745","arrowleft","true","false","-0.09584541074544928","arrowleft","72379"
"857","0.38632442346246776","0.14438027412759402","arrowleft","true","false","-0.24194414933487374","arrowleft","73241"
"793","0.4739566678124364","0.0008973452707454754","arrowleft","true","false","-0.4730593225416909","arrowleft","74037"
"1134","0.9359234984763407","0.4773477943560557","arrowleft","true","false","-0.45857570412028503","arrowleft","75175"
"1972","0.8949155868270415","0.9164175918755096","arrowright","false","false","0.02150200504846811","arrowleft","77150"
"3462","0.21148734251477375","0.22386381304858793","arrowright","false","false","0.012376470533814188","arrowleft","80616"
"1005","0.8589254140042404","0.8691414267148342","arrowright","true","true","0.010216012710593803","arrowright","81624"
"902","0.9475517548580036","0.26271737283835117","arrowleft","true","false","-0.6848343820196524","arrowleft","82529"
"836","0.08259825949087163","0.4412879081566937","arrowright","true","true","0.3586896486658221","arrowright","83367"
"702","0.3444985802510475","0.23506716517263826","arrowleft","true","false","-0.10943141507840926","arrowleft","84075"
"665","0.9928622640389597","0.4393191510752348","arrowleft","true","false","-0.5535431129637249","arrowleft","84743"
"718","0.10650610001935112","0.3325574127033475","arrowright","true","true","0.22605131268399636","arrowright","85466"
"815","0.21156462411015886","0.6506767078204333","arrowright","true","true","0.43911208371027444","arrowright","86285"
"691","0.6631069344446011","0.16818051332156403","arrowleft","true","false","-0.4949264211230371","arrowleft","86979"
"700","0.389881605689411","0.7572528868114287","arrowright","true","true","0.36737128112201767","arrowright","87682"
"804","0.011973136647575822","0.7171025206028836","arrowright","true","true","0.7051293839553078","arrowright","88490"
"1052","0.14440543701663755","0.09769451659387651","arrowleft","true","false","-0.04671092042276104","arrowleft","89544"
"771","0.27913945001053897","0.1670862203266047","arrowleft","true","false","-0.11205322968393427","arrowleft","90318"
"820","0.11942256131700679","0.6447246750308429","arrowright","true","true","0.5253021137138361","arrowright","91142"
"872","0.41825073600741647","0.9350703190600863","arrowright","true","true","0.5168195830526698","arrowright","92018"
"1451","0.7432868995853024","0.9370893065778306","arrowright","true","true","0.19380240699252826","arrowright","93472"
"827","0.7466678341385117","0.3397671126286056","arrowleft","true","false","-0.4069007215099061","arrowleft","94303"
"1456","0.28655383758021546","0.544303803076776","arrowright","true","true","0.2577499654965605","arrowright","95764"
"1208","0.18953224746425335","0.2746278950514507","arrowright","true","true","0.08509564758719734","arrowright","96975"
"908","0.9388576223915679","0.6161589800731107","arrowleft","true","false","-0.32269864231845724","arrowleft","97887"
"878","0.1029405336284207","0.40274342969255206","arrowright","true","true","0.29980289606413135","arrowright","98768"
"622","0.07938546547272718","0.937922597231082","arrowright","true","true","0.8585371317583548","arrowright","99393"
"2938","0.3576355841905646","0.4109109862164021","arrowright","false","false","0.05327540202583747","arrowleft","102334"
"723","0.29398767299471995","0.8248149534597735","arrowright","true","true","0.5308272804650536","arrowright","103060"
"1158","0.6289544455906029","0.24554703577180692","arrowleft","true","false","-0.38340740981879595","arrowleft","104223"
"762","0.1529291649219845","0.5171678864221576","arrowright","true","true","0.3642387215001731","arrowright","104989"
"1179","0.18786058784148385","0.09651731617393988","arrowleft","true","false","-0.09134327166754397","arrowleft","106171"
"1214","0.8629574594051993","0.857218161043595","arrowleft","true","false","-0.00573929836160425","arrowleft","107391"
"2372","0.07311349653491295","0.08979495269581417","arrowright","true","true","0.01668145616090122","arrowright","109766"
"704","0.6231198691417169","0.12809215348836178","arrowleft","true","false","-0.4950277156533551","arrowleft","110474"
"1030","0.8264269383455852","0.34504219253453927","arrowleft","true","false","-0.48138474581104596","arrowleft","111506"
"1226","0.6520061196215998","0.7351248229598687","arrowright","true","true","0.08311870333826887","arrowright","112735"
"604","0.8811255030717566","0.1177672774460633","arrowleft","true","false","-0.7633582256256933","arrowleft","113344"
"1189","0.9182380468783408","0.2677442391764481","arrowleft","true","false","-0.6504938077018927","arrowleft","114536"
"906","0.5617314724329804","0.9534163379068862","arrowright","true","true","0.3916848654739058","arrowright","115445"
"833","0.5215899713920974","0.6989896120352681","arrowright","true","true","0.1773996406431707","arrowright","116282"
"906","0.0911617382753207","0.6011132967792455","arrowright","true","true","0.5099515585039248","arrowright","117191"
"1172","0.603283968203928","0.9388876126618703","arrowright","true","true","0.3356036444579422","arrowright","118370"
"4635","0.22262023305053003","0.17242885249607942","arrowleft","true","false","-0.050191380554450604","arrowleft","123010"
"586","0.5357951679169486","0.29426499496569036","arrowleft","true","false","-0.24153017295125823","arrowleft","123601"
"642","0.15364127288848972","0.6385147082375485","arrowright","true","true","0.4848734353490588","arrowright","124246"
"714","0.9862695209393298","0.1751774196875444","arrowleft","true","false","-0.8110921012517854","arrowleft","124964"
"905","0.676598539424944","0.30362343189303986","arrowleft","true","false","-0.3729751075319041","arrowleft","125870"
"711","0.0799397136896084","0.6425292453944247","arrowright","true","true","0.5625895317048163","arrowright","126587"
"984","0.5903850974993441","0.9118779156483734","arrowright","true","true","0.3214928181490293","arrowright","127574"
"1362","0.45776392759637663","0.4991045910797306","arrowright","true","true","0.04134066348335397","arrowright","128940"
